,Post_Quant,Sample_or_Control,exp,Control_Type,ovi_round,ovi_sample_type,ovi_no_individuals,ovi_trial,ovi_gen,ovi_sex,ovi_date,ovi_cage,identifier,notes,
OVI44,2.11,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_15_22,2,C2 Trial 1,produced no eggs,
OVI40,0.557,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_15_22,2,C2 Trial 1,produced no eggs,
OVI34,0.783,Sample,ovi,NA,1,Pupation Water,NA,1,2,NA,7_15_22,3,C3 Trial 1,,
OVI17,2.34,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_15_22,3,C3 Trial 1,,
OVI26,1.49,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_15_22,3,C3 Trial 1,,
OVI43,12,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,4,C4 Trial 1,produced no eggs,
OVI47,40,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_16_22,4,C4 Trial 1,produced no eggs,
OVI18,1.15,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_15_22,5,C5 Trial 1,only male sample amplified,
OVI19,7.5,Sample,ovi,NA,1,Generation 1 Male Pool,2,1,1,male,7_16_22,6,C6 Trial 1,,
OVI27,6.4,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_16_22,6,C6 Trial 1,,
OVI5,1.4,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,6,C6 Trial 1,,
OVI28,4.68,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_15_22,7,C7 Trial 1,,
OVI36,13,Sample,ovi,NA,1,Pupation Water,NA,1,2,NA,7_15_22,7,C7 Trial 1,,
OVI6,0.327,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_15_22,7,C7 Trial 1,,
OVI20,3.82,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_15_22,7,C7 Trial 1,,
OVI37,0.789,Sample,ovi,NA,1,Pupation Water,NA,1,2,NA,7_15_22,8,C8 Trial 1,,
OVI21,4.04,Sample,ovi,NA,1,Generation 1 Male Pool,2,1,1,male,7_15_22,8,C8 Trial 1,,
OVI29,9.1,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_15_22,8,C8 Trial 1,,
OVI45,4.94,Sample,ovi,NA,1,Generation 1 Male Pool,2,1,1,male,7_16_22,9,C9 Trial 1,produced no eggs,
OVI41,1.07,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,9,C9 Trial 1,produced no eggs,
OVI46,0.21,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_16_22,10,C10 Trial 1,produced no eggs,
OVI42,10,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,10,C10 Trial 1,produced no eggs,
OVI2,2.27,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,11,C11 Trial 1,,
OVI38,3.86,Sample,ovi,NA,1,Pupation Water,NA,1,2,NA,7_16_22,11,C11 Trial 1,,
OVI22,8.8,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_16_22,11,C11 Trial 1,,
OVI30,8.2,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_16_22,11,C11 Trial 1,,
OVI23,10,Sample,ovi,NA,1,Generation 1 Male Pool,3,1,1,male,7_16_22,12,C12 Trial 1,,
OVI31,7.8,Sample,ovi,NA,1,Egg Water,NA,1,2,NA,7_16_22,12,C12 Trial 1,,
OVI39,2.89,Sample,ovi,NA,1,Pupation Water,NA,1,2,NA,7_16_22,12,C12 Trial 1,,
OVI4,5.5,Sample,ovi,NA,1,Individual Generation 1 Female,1,1,1,female,7_16_22,12,C12 Trial 1,,
OVI24,5.4,Sample,ovi,NA,1,Tray Water Sample,NA,1,1,NA,7_08_22,NA,CNA Trial 1,,
OVI50,1.67,Sample,ovi,NA,1,Generation 1 Male Pool,3,2,1,male,7_26_22,1,C1 Trial 2,,
OVI59,5.2,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_25_22,1,C1 Trial 2,,
OVI49,0.439,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_26_22,1,C1 Trial 2,,
OVI51,1.73,Sample,ovi,NA,1,Generation 1 Male Pool,3,2,1,male,7_27_22,2,C2 Trial 2,,
OVI60,3.5,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,2,C2 Trial 2,,
OVI8,0.203,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_27_22,3,C3 Trial 2,,
OVI61,0.607,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,3,C3 Trial 2,,
OVI71,0.443,Sample,ovi,NA,1,Pupation Water,NA,2,2,NA,7_27_22,3,C3 Trial 2,,
OVI53,0.599,Sample,ovi,NA,1,Generation 1 Male Pool,2,2,1,male,7_27_22,4,C4 Trial 2,,
OVI62,2.03,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,4,C4 Trial 2,,
OVI72,0.162,Sample,ovi,NA,1,Pupation Water,NA,2,2,NA,7_27_22,4,C4 Trial 2,,
OVI63,1.26,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,6,C6 Trial 2,,
OVI13,2.07,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_27_22,6,C6 Trial 2,,
OVI56,0.671,Sample,ovi,NA,1,Generation 1 Male Pool,3,2,1,male,7_27_22,7,C7 Trial 2,,
OVI74,1.47,Sample,ovi,NA,1,Pupation Water,NA,2,2,NA,7_27_22,7,C7 Trial 2,,
OVI65,6.8,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,7,C7 Trial 2,,
OVI55,0.491,Sample,ovi,NA,1,Generation 1 Male Pool,3,2,1,male,7_27_22,8,C8 Trial 2,,
OVI75,1.23,Sample,ovi,NA,1,Pupation Water,NA,2,2,NA,7_26_22,8,C8 Trial 2,,
OVI11,0.891,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_25_22,8,C8 Trial 2,,
OVI66,4.89,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_25_22,8,C8 Trial 2,,
OVI14,0.373,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_27_22,9,C9 Trial 2,,
OVI67,5,Sample,ovi,NA,1,Egg Water,NA,2,1,NA,7_27_22,9,C9 Trial 2,,
OVI78,8.3,Sample,ovi,NA,1,Individual Generation 1 Female,1,2,1,female,7_28_22,12,C12 Trial 2,,
OVI25,6.2,Sample,ovi,NA,1,Tray Water Sample,NA,2,1,NA,7_ 20_22,NA,CNA Trial 2,,
OVI81,0.236,Sample,ovi,NA,1,Individual Generation 1 Female,1,3,1,female,8_10_22,1,C1 Trial 3,,
OVI104,6.3,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_10_22,1,C1 Trial 3,,
OVI90,0.538,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_10_22,1,C1 Trial 3,,
OVI114,0.256,Sample,ovi,NA,1,Pupation Water,NA,3,2,NA,8_10_22,1,C1 Trial 3,,
OVI137,1.6,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,2,C2 Trial 3,,
OVI105,5,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,2,C2 Trial 3,,
OVI83,0.305,Sample,ovi,NA,1,Individual Generation 1 Female,1,3,1,female,8_09_22,3,C3 Trial 3,,
OVI106,4.05,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,4,C4 Trial 3,,
OVI140,0.207,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,4,C4 Trial 3,,
OVI107,3.39,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,5,C5 Trial 3,,
OVI139,3.73,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_11_22,5,C5 Trial 3,,
OVI108,0.138,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_09_22,6,C6 Trial 3,,
OVI98,0.544,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_10_22,8,C8 Trial 3,,
OVI109,0.782,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_10_22,8,C8 Trial 3,,
OVI99,0.387,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_11_22,9,C9 Trial 3,,
OVI110,0.187,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,9,C9 Trial 3,,
OVI111,0.262,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_10_22,10,C10 Trial 3,,
OVI138,1.85,Sample,ovi,NA,1,Arrested Water,NA,3,2,NA,8_10_22,10,C10 Trial 3,,
OVI113,0.2,Sample,ovi,NA,1,Egg Water,NA,3,1,NA,8_11_22,11,C11 Trial 3,,
OVI102,0.272,Sample,ovi,NA,1,Generation 1 Male Pool,3,3,1,male,8_11_22,12,C12 Trial 3,,
OVI103,1.34,Sample,ovi,NA,1,Individual Generation 1 Female,1,3,1,female,8_11_22,12,C12 Trial 3,,
OVI33,6.2,Sample,ovi,NA,1,Tray Water Sample,NA,3,NA,NA,8_03_22,NA,CNA Trial 3,,
OVI145,1.19,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,2,C2 Trial 4,,
OVI152,2.12,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,4,C4 Trial 4,,
OVI159,1.6,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,5,C5 Trial 4,,
OVI172,1.1,Sample,ovi,NA,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,7,C7 Trial 4,,
OVI146,1.62,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,7,C7 Trial 4,,
OVI184,0.676,Sample,ovi,NA,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,10,C10 Trial 4,,
OVI151,6,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,10,C10 Trial 4,,
OVI191,0.186,Sample,ovi,NA,2,Pupation Water,NA,4,1,NA,6_13_23,11,C11 Trial 4,,
OVI156,2.96,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,11,C11 Trial 4,,
OVI149,6.5,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,12,C12 Trial 4,,
OVI155,4.31,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,13,C13 Trial 4,,
OVI150,3.32,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,14,C14 Trial 4,,
OVI175,0.537,Sample,ovi,NA,2,Generation 1 Male Pool,3,4,1,NA,6_13_23,15,C15 Trial 4,,
OVI162,2,Sample,ovi,NA,2,Pupation Water,NA,4,2,NA,6_13_23,15,C15 Trial 4,,
OVI147,7,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,15,C15 Trial 4,,
OVI154,4.25,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,16,C16 Trial 4,,
OVI153,2.66,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,17,C17 Trial 4,,
OVI158,6.1,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,21,C21 Trial 4,,
OVI163,1.06,Sample,ovi,NA,2,Pupation Water,NA,4,2,NA,6_13_23,22,C22 Trial 4,,
OVI148,2.85,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,22,C22 Trial 4,,
OVI192,1.74,Sample,ovi,NA,2,Pupation Water,NA,4,1,NA,6_13_23,24,C24 Trial 4,,
OVI157,1.99,Sample,ovi,NA,2,Egg Water,NA,4,1,NA,6_13_23,24,C24 Trial 4,,
