,identifier,Post_Quant,Sample_or_Control,exp,ovi_round,ovi_sample_type,ovi_no_individuals,ovi_trial,ovi_gen,ovi_sex,ovi_date,ovi_cage,Mom_Wing_Length_mm,Tot_Eggs,Eggs_Post_Sterile,Egg_Hatch,Hatch_Rate,CFU_Eggs,Log_CFU_Eggs,Tot_Larvae,Tot_Died,Tot_Arrested,Tot_Pupated,Tot_Fourths,early,pupation_rate,death_rate,fourth_rate,early_rate
OVI191,C11 Trial 4,0.186,Sample,ovi,2,Pupation Water,NA,4,1,NA,6_13_23,11,2.359,54,54,41,0.759259259,2.03e+08,8.307496038,8,0,7,1,8,0,0.125,0,1,0
OVI107,C5 Trial 3,3.39,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,5,2.519,62,62,52,0.83871,57300000,7.758155,10,1,9,0,9,0,0,0.1,0.9,0
OVI145,C2 Trial 4,1.19,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,2,2.344,46,46,32,0.695652174,92900000,7.968015714,10,0,9,1,10,0,0.1,0,1,0
OVI50,C1 Trial 2,1.67,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_26_22,1,2.495,37,37,NA,NA,1.7e+08,8.230449,11,0,6,5,11,0,0.454545455,0,1,0
OVI81,C1 Trial 3,0.236,Sample,ovi,1,Individual Generation 1 Female,1,3,1,female,8_10_22,1,2.457,45,45,40,0.888889,2.03e+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
OVI56,C7 Trial 2,0.671,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_27_22,7,2.542,57,57,NA,NA,66800000,7.824776,10,1,3,6,9,0,0.6,0.1,0.9,0
OVI175,C15 Trial 4,0.537,Sample,ovi,2,Generation 1 Male Pool,3,4,1,NA,6_13_23,15,2.222,22,22,10,0.454545455,1.6e+08,8.204119983,8,0,1,7,7,1,0.875,0,0.875,0.125
OVI153,C17 Trial 4,2.66,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,17,2.344,58,58,47,0.810344828,2.08e+08,8.318063335,7,0,3,4,7,0,0.571428571,0,1,0
OVI53,C4 Trial 2,0.599,Sample,ovi,1,Generation 1 Male Pool,2,2,1,male,7_27_22,4,2.544,24,24,NA,NA,98300000,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
OVI37,C8 Trial 1,0.789,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_15_22,8,2.43,66,66,46,0.69697,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
OVI62,C4 Trial 2,2.03,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,4,2.544,24,24,NA,NA,98300000,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
OVI163,C22 Trial 4,1.06,Sample,ovi,2,Pupation Water,NA,4,2,NA,6_13_23,22,2.443,66,66,57,0.863636364,1.77e+08,8.247973266,11,0,11,0,10,1,0,0,0.909090909,0.090909091
OVI23,C12 Trial 1,10,Sample,ovi,1,Generation 1 Male Pool,3,1,1,male,7_16_22,12,2.494,54,54,44,0.814815,21300000,7.32838,11,0,11,0,11,0,0,0,1,0
OVI111,C10 Trial 3,0.262,Sample,ovi,1,Egg Water,NA,3,1,NA,8_10_22,10,NA,24,24,18,0.75,4e+06,6.60206,10,2,8,0,8,0,0,0.2,0.8,0
OVI19,C6 Trial 1,7.5,Sample,ovi,1,Generation 1 Male Pool,2,1,1,male,7_16_22,6,2.532,30,30,20,0.666667,3.6e+07,7.556303,10,2,7,1,8,0,0.1,0.2,0.8,0
OVI59,C1 Trial 2,5.2,Sample,ovi,1,Egg Water,NA,2,1,NA,7_25_22,1,2.495,37,37,NA,NA,1.7e+08,8.230449,11,0,6,5,11,0,0.454545455,0,1,0
OVI2,C11 Trial 1,2.27,Sample,ovi,1,Individual Generation 1 Female,1,1,1,female,7_16_22,11,2.459,44,44,26,0.590909,11300000,7.053078,10,2,3,5,8,0,0.5,0.2,0.8,0
OVI31,C12 Trial 1,7.8,Sample,ovi,1,Egg Water,NA,1,2,NA,7_16_22,12,2.494,54,54,44,0.814815,21300000,7.32838,11,0,11,0,11,0,0,0,1,0
OVI27,C6 Trial 1,6.4,Sample,ovi,1,Egg Water,NA,1,2,NA,7_16_22,6,2.532,30,30,20,0.666667,3.6e+07,7.556303,10,2,7,1,8,0,0.1,0.2,0.8,0
OVI28,C7 Trial 1,4.68,Sample,ovi,1,Egg Water,NA,1,2,NA,7_15_22,7,2.491,18,18,6,0.333333,NA,NA,10,9,0,1,1,0,0.1,0.9,0.1,0
OVI36,C7 Trial 1,13,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_15_22,7,2.491,18,18,6,0.333333,NA,NA,10,9,0,1,1,0,0.1,0.9,0.1,0
OVI14,C9 Trial 2,0.373,Sample,ovi,1,Individual Generation 1 Female,1,2,1,female,7_27_22,9,2.575,42,42,NA,NA,1.13e+08,8.053078,12,2,10,0,10,0,0,0.166666667,0.833333333,0
OVI104,C1 Trial 3,6.3,Sample,ovi,1,Egg Water,NA,3,1,NA,8_10_22,1,2.457,45,45,40,0.888889,2.03e+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
OVI154,C16 Trial 4,4.25,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,16,1.906,19,19,17,0.894736842,1.6e+08,8.204119983,11,0,7,4,11,0,0.363636364,0,1,0
OVI162,C15 Trial 4,2,Sample,ovi,2,Pupation Water,NA,4,2,NA,6_13_23,15,2.222,22,22,10,0.454545455,1.6e+08,8.204119983,8,0,1,7,7,1,0.875,0,0.875,0.125
OVI8,C3 Trial 2,0.203,Sample,ovi,1,Individual Generation 1 Female,1,2,1,female,7_27_22,3,2.369,51,51,NA,NA,3370000,6.52763,10,2,1,7,8,0,0.7,0.2,0.8,0
OVI51,C2 Trial 2,1.73,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_27_22,2,2.433,36,36,NA,NA,3.77e+08,8.576341,11,0,11,0,11,0,0,0,1,0
OVI39,C12 Trial 1,2.89,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_16_22,12,2.494,54,54,44,0.814815,21300000,7.32838,11,0,11,0,11,0,0,0,1,0
OVI137,C2 Trial 3,1.6,Sample,ovi,1,Arrested Water,NA,3,2,NA,8_11_22,2,2.403,26,26,20,0.769231,98700000,7.994317,10,0,10,0,10,0,0,0,1,0
OVI72,C4 Trial 2,0.162,Sample,ovi,1,Pupation Water,NA,2,2,NA,7_27_22,4,2.544,24,24,NA,NA,98300000,7.992554,10,2,8,0,8,0,0,0.2,0.8,0
OVI149,C12 Trial 4,6.5,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,12,2.249,15,15,11,0.733333333,64700000,7.810904281,7,0,3,4,7,0,0.571428571,0,1,0
OVI5,C6 Trial 1,1.4,Sample,ovi,1,Individual Generation 1 Female,1,1,1,female,7_16_22,6,2.532,30,30,20,0.666667,3.6e+07,7.556303,10,2,7,1,8,0,0.1,0.2,0.8,0
OVI6,C7 Trial 1,0.327,Sample,ovi,1,Individual Generation 1 Female,1,1,1,female,7_15_22,7,2.491,18,18,6,0.333333,NA,NA,10,9,0,1,1,0,0.1,0.9,0.1,0
OVI192,C24 Trial 4,1.74,Sample,ovi,2,Pupation Water,NA,4,1,NA,6_13_23,24,NA,42,42,38,0.904761905,1.15e+08,8.06069784,7,0,6,1,7,0,0.142857143,0,1,0
OVI34,C3 Trial 1,0.783,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_15_22,3,2.528,51,51,45,0.882353,NA,NA,10,4,4,2,6,0,0.2,0.4,0.6,0
OVI98,C8 Trial 3,0.544,Sample,ovi,1,Generation 1 Male Pool,3,3,1,male,8_10_22,8,2.332,33,33,22,0.666667,5e+06,6.69897,10,3,7,0,7,0,0,0.3,0.7,0
OVI63,C6 Trial 2,1.26,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,6,2.527,21,21,NA,NA,1.11e+08,8.045323,10,5,5,0,5,0,0,0.5,0.5,0
OVI90,C1 Trial 3,0.538,Sample,ovi,1,Generation 1 Male Pool,3,3,1,male,8_10_22,1,2.457,45,45,40,0.888889,2.03e+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
OVI55,C8 Trial 2,0.491,Sample,ovi,1,Generation 1 Male Pool,3,2,1,male,7_27_22,8,2.405,65,65,NA,NA,56700000,7.753583,11,0,3,8,11,0,0.727272727,0,1,0
OVI60,C2 Trial 2,3.5,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,2,2.433,36,36,NA,NA,3.77e+08,8.576341,11,0,11,0,11,0,0,0,1,0
OVI150,C14 Trial 4,3.32,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,14,2.298,41,41,33,0.804878049,1e+08,8,6,0,2,4,6,0,0.666666667,0,1,0
OVI108,C6 Trial 3,0.138,Sample,ovi,1,Egg Water,NA,3,1,NA,8_09_22,6,2.508,18,18,17,0.944444,13300000,7.123852,10,0,8,2,10,0,0.2,0,1,0
OVI156,C11 Trial 4,2.96,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,11,2.359,54,54,41,0.759259259,2.03e+08,8.307496038,8,0,7,1,8,0,0.125,0,1,0
OVI75,C8 Trial 2,1.23,Sample,ovi,1,Pupation Water,NA,2,2,NA,7_26_22,8,2.405,65,65,NA,NA,56700000,7.753583,11,0,3,8,11,0,0.727272727,0,1,0
OVI99,C9 Trial 3,0.387,Sample,ovi,1,Generation 1 Male Pool,3,3,1,male,8_11_22,9,2.546,23,23,14,0.608696,24700000,7.392697,10,2,3,7,10,0,0.7,0,1,0
OVI13,C6 Trial 2,2.07,Sample,ovi,1,Individual Generation 1 Female,1,2,1,female,7_27_22,6,2.527,21,21,NA,NA,1.11e+08,8.045323,10,5,5,0,5,0,0,0.5,0.5,0
OVI74,C7 Trial 2,1.47,Sample,ovi,1,Pupation Water,NA,2,2,NA,7_27_22,7,2.542,57,57,NA,NA,66800000,7.824776,10,1,3,6,9,0,0.6,0.1,0.9,0
OVI139,C5 Trial 3,3.73,Sample,ovi,1,Arrested Water,NA,3,2,NA,8_11_22,5,2.519,62,62,52,0.83871,57300000,7.758155,10,1,9,0,9,0,0,0.1,0.9,0
OVI172,C7 Trial 4,1.1,Sample,ovi,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,7,2.146,27,27,18,0.666666667,3.25e+08,8.511883361,9,0,7,2,9,0,0.222222222,0,1,0
OVI38,C11 Trial 1,3.86,Sample,ovi,1,Pupation Water,NA,1,2,NA,7_16_22,11,2.459,44,44,26,0.590909,11300000,7.053078,10,2,3,5,8,0,0.5,0.2,0.8,0
OVI17,C3 Trial 1,2.34,Sample,ovi,1,Generation 1 Male Pool,3,1,1,male,7_15_22,3,2.528,51,51,45,0.882353,NA,NA,10,4,4,2,6,0,0.2,0.4,0.6,0
OVI26,C3 Trial 1,1.49,Sample,ovi,1,Egg Water,NA,1,2,NA,7_15_22,3,2.528,51,51,45,0.882353,NA,NA,10,4,4,2,6,0,0.2,0.4,0.6,0
OVI106,C4 Trial 3,4.05,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,4,2.419,51,51,41,0.803922,49700000,7.696356,10,0,10,0,10,0,0,0,1,0
OVI146,C7 Trial 4,1.62,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,7,2.146,27,27,18,0.666666667,3.25e+08,8.511883361,9,0,7,2,9,0,0.222222222,0,1,0
OVI22,C11 Trial 1,8.8,Sample,ovi,1,Generation 1 Male Pool,3,1,1,male,7_16_22,11,2.459,44,44,26,0.590909,11300000,7.053078,10,2,3,5,8,0,0.5,0.2,0.8,0
OVI11,C8 Trial 2,0.891,Sample,ovi,1,Individual Generation 1 Female,1,2,1,female,7_25_22,8,2.405,65,65,NA,NA,56700000,7.753583,11,0,3,8,11,0,0.727272727,0,1,0
OVI109,C8 Trial 3,0.782,Sample,ovi,1,Egg Water,NA,3,1,NA,8_10_22,8,2.332,33,33,22,0.666667,5e+06,6.69897,10,3,7,0,7,0,0,0.3,0.7,0
OVI138,C10 Trial 3,1.85,Sample,ovi,1,Arrested Water,NA,3,2,NA,8_10_22,10,NA,24,24,18,0.75,4e+06,6.60206,10,2,8,0,8,0,0,0.2,0.8,0
OVI140,C4 Trial 3,0.207,Sample,ovi,1,Arrested Water,NA,3,2,NA,8_11_22,4,2.419,51,51,41,0.803922,49700000,7.696356,10,0,10,0,10,0,0,0,1,0
OVI30,C11 Trial 1,8.2,Sample,ovi,1,Egg Water,NA,1,2,NA,7_16_22,11,2.459,44,44,26,0.590909,11300000,7.053078,10,2,3,5,8,0,0.5,0.2,0.8,0
OVI114,C1 Trial 3,0.256,Sample,ovi,1,Pupation Water,NA,3,2,NA,8_10_22,1,2.457,45,45,40,0.888889,2.03e+08,8.307496,10,2,2,8,10,0,0.8,0,1,0
OVI21,C8 Trial 1,4.04,Sample,ovi,1,Generation 1 Male Pool,2,1,1,male,7_15_22,8,2.43,66,66,46,0.69697,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
OVI61,C3 Trial 2,0.607,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,3,2.369,51,51,NA,NA,3370000,6.52763,10,2,1,7,8,0,0.7,0.2,0.8,0
OVI65,C7 Trial 2,6.8,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,7,2.542,57,57,NA,NA,66800000,7.824776,10,1,3,6,9,0,0.6,0.1,0.9,0
OVI29,C8 Trial 1,9.1,Sample,ovi,1,Egg Water,NA,1,2,NA,7_15_22,8,2.43,66,66,46,0.69697,NA,NA,12,0,5,7,12,0,0.583333333,0,1,0
OVI110,C9 Trial 3,0.187,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,9,2.546,23,23,14,0.608696,24700000,7.392697,10,2,3,7,10,0,0.7,0,1,0
OVI147,C15 Trial 4,7,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,15,2.222,22,22,10,0.454545455,1.6e+08,8.204119983,8,0,1,7,7,1,0.875,0,0.875,0.125
OVI105,C2 Trial 3,5,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,2,2.403,26,26,20,0.769231,98700000,7.994317,10,0,10,0,10,0,0,0,1,0
OVI66,C8 Trial 2,4.89,Sample,ovi,1,Egg Water,NA,2,1,NA,7_25_22,8,2.405,65,65,NA,NA,56700000,7.753583,11,0,3,8,11,0,0.727272727,0,1,0
OVI71,C3 Trial 2,0.443,Sample,ovi,1,Pupation Water,NA,2,2,NA,7_27_22,3,2.369,51,51,NA,NA,3370000,6.52763,10,2,1,7,8,0,0.7,0.2,0.8,0
OVI4,C12 Trial 1,5.5,Sample,ovi,1,Individual Generation 1 Female,1,1,1,female,7_16_22,12,2.494,54,54,44,0.814815,21300000,7.32838,11,0,11,0,11,0,0,0,1,0
OVI67,C9 Trial 2,5,Sample,ovi,1,Egg Water,NA,2,1,NA,7_27_22,9,2.575,42,42,NA,NA,1.13e+08,8.053078,12,2,10,0,10,0,0,0.166666667,0.833333333,0
OVI113,C11 Trial 3,0.2,Sample,ovi,1,Egg Water,NA,3,1,NA,8_11_22,11,2.283,52,52,40,0.769231,13300000,7.123852,10,3,5,2,7,0,0.2,0.3,0.7,0
OVI158,C21 Trial 4,6.1,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,21,2.453,64,64,42,0.65625,1.08e+08,8.033423755,10,1,10,0,8,1,0,0.1,0.8,0.1
OVI159,C5 Trial 4,1.6,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,5,2.365,57,57,41,0.719298246,1.37e+08,8.136720567,10,0,10,0,9,1,0,0,0.9,0.1
OVI20,C7 Trial 1,3.82,Sample,ovi,1,Generation 1 Male Pool,3,1,1,male,7_15_22,7,2.491,18,18,6,0.333333,NA,NA,10,9,0,1,1,0,0.1,0.9,0.1,0
OVI49,C1 Trial 2,0.439,Sample,ovi,1,Individual Generation 1 Female,1,2,1,female,7_26_22,1,2.495,37,37,NA,NA,1.7e+08,8.230449,11,0,6,5,11,0,0.454545455,0,1,0
OVI148,C22 Trial 4,2.85,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,22,2.443,66,66,57,0.863636364,1.77e+08,8.247973266,11,0,11,0,10,1,0,0,0.909090909,0.090909091
OVI184,C10 Trial 4,0.676,Sample,ovi,2,Individual Generation 1 Female,1,4,1,NA,6_13_23,10,2.413,41,41,38,0.926829268,1.09e+08,8.037426498,10,0,10,0,10,0,0,0,1,0
OVI151,C10 Trial 4,6,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,10,2.413,41,41,38,0.926829268,1.09e+08,8.037426498,10,0,10,0,10,0,0,0,1,0
OVI152,C4 Trial 4,2.12,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,4,2.506,43,43,29,0.674418605,1.47e+08,8.167317335,10,0,9,1,6,4,0.1,0,0.6,0.4
OVI157,C24 Trial 4,1.99,Sample,ovi,2,Egg Water,NA,4,1,NA,6_13_23,24,NA,42,42,38,0.904761905,1.15e+08,8.06069784,7,0,6,1,7,0,0.142857143,0,1,0
